Ward/Precinct,Ward,Precinct,,WILL DORCENA,AYANNA PRESSLEY,FELIX G ARROYO,JOHN R CONNOLLY,MICHAEL F FLAHERTY,STEPHEN J MURPHY,SEAN H RYAN,WILLIAM B FEEGBEH Write-in,DESHON PORTER Write-in,ALTHEA GARRISON Write-in,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,White plurality (Y/N),Black plurality (Y/N),Hispanic plurality (Y/N),Asian plurality (Y/N)
1907,1907,1907,198,36,266,288,209,83,117,47,0,0,0,1,1047,345,348,1623,1717,1105,211,8,136,0,184,73,1717,941,198,388,2,136,0,11,41,12.28887595,0.465928946,7.920792079,0,10.71636575,4.251601631,22.59755387,64.35643564,Y,N,N,N
1908,1908,1908,199,14,205,180,156,40,64,33,0,0,0,1,693,223,229,858,843,754,27,1,28,0,12,21,843,728,27,38,1,28,0,4,17,3.202846975,0.118623962,3.321470937,0,1.423487544,2.491103203,4.507710558,89.44246738,Y,N,N,N
1909,1909,1909,200,16,144,133,120,40,63,16,0,0,0,5,537,135,168,803,844,707,40,1,66,0,11,19,844,661,39,60,0,66,0,3,15,4.739336493,0.118483412,7.819905213,0,1.303317536,2.251184834,7.109004739,83.76777251,Y,N,N,N
1910,1910,1910,201,45,250,249,194,107,140,36,0,0,0,1,1022,390,353,1524,1817,1097,474,6,36,3,142,59,1817,928,425,394,4,35,3,6,22,26.08695652,0.33021464,1.981287837,0.16510732,7.815079802,3.247110622,21.68409466,60.37424326,Y,N,N,N
1911,1911,1911,202,19,91,104,54,36,48,20,0,0,0,0,372,200,143,1140,1386,469,390,7,73,0,364,83,1386,232,342,694,2,73,0,7,36,28.13852814,0.505050505,5.266955267,0,26.26262626,5.988455988,50.07215007,33.83838384,N,N,Y,N
1912,1912,1912,203,32,211,222,189,95,108,53,0,0,0,0,910,294,301,957,1133,750,237,7,19,1,74,45,1133,656,220,212,5,18,1,1,20,20.91791703,0.617828773,1.676963813,0.088261253,6.531332745,3.971756399,18.7113857,66.19593998,Y,N,N,N
1913,1913,1913,204,30,122,123,96,64,76,26,0,0,0,1,538,182,180,1047,1850,792,581,10,42,5,321,99,1850,516,516,732,2,42,4,9,29,31.40540541,0.540540541,2.27027027,0.27027027,17.35135135,5.351351351,39.56756757,42.81081081,Y,N,N,N
2001,2001,2001,205,27,189,181,227,123,184,58,0,0,0,1,990,358,337,1366,1872,1672,79,4,55,0,44,18,1872,1603,71,115,1,54,0,13,15,4.22008547,0.213675214,2.938034188,0,2.35042735,0.961538462,6.143162393,89.31623932,Y,N,N,N
2002,2002,2002,206,48,256,258,238,134,169,48,0,0,0,3,1154,386,385,1583,1786,1285,248,9,67,0,120,57,1786,1129,218,333,3,66,0,7,30,13.88577828,0.503919373,3.751399776,0,6.718924972,3.191489362,18.6450168,71.94848824,Y,N,N,N
2003,2003,2003,207,41,130,161,232,149,178,44,0,0,0,0,935,413,337,1646,1967,1118,543,4,121,0,133,48,1967,1001,508,298,4,121,0,7,28,27.60549059,0.203355363,6.151499746,0,6.761565836,2.440264362,15.14997458,56.8378241,Y,N,N,N
2004,2004,2004,208,47,242,226,209,90,128,41,0,0,0,0,983,301,321,1220,1132,972,74,0,21,0,42,23,1132,941,69,85,0,21,0,3,13,6.537102473,0,1.855123675,0,3.71024735,2.03180212,7.508833922,85.86572438,Y,N,N,N
2005,2005,2005,209,30,182,189,309,176,232,100,0,0,0,0,1218,478,424,1544,2961,2444,180,6,183,1,106,41,2961,2324,161,245,4,183,1,10,33,6.079027356,0.202634245,6.180344478,0.033772374,3.579871665,1.384667342,8.274231678,82.53968254,Y,N,N,N
2006,2006,2006,210,43,294,251,407,199,247,126,0,0,0,1,1568,564,533,1614,1978,1797,67,8,64,1,17,24,1978,1735,67,82,7,63,1,3,20,3.387259858,0.404448938,3.235591507,0.050556117,0.859453994,1.213346815,4.145601618,90.84934277,Y,N,N,N
2007,2007,2007,211,26,157,142,237,100,167,63,0,0,0,5,897,299,299,1003,1072,977,41,4,28,0,13,9,1072,933,37,62,4,28,0,2,6,3.824626866,0.373134328,2.611940299,0,1.212686567,0.839552239,5.78358209,91.1380597,Y,N,N,N
2008,2008,2008,212,21,138,146,163,100,118,39,0,0,0,7,732,264,249,1055,1391,1117,113,8,45,0,70,38,1391,1056,102,162,1,45,0,2,23,8.123652049,0.575125809,3.235082674,0,5.032350827,2.731847592,11.64629763,80.30194105,Y,N,N,N
2009,2009,2009,213,23,166,174,187,90,125,35,0,0,0,1,801,275,269,1206,1481,1136,188,1,14,0,109,33,1481,1027,176,243,0,14,0,7,14,12.69412559,0.067521945,0.945307225,0,7.359891965,2.228224173,16.40783255,76.7049291,Y,N,N,N
2010,2010,2010,214,41,268,244,391,238,259,110,0,0,0,3,1554,522,519,1768,1488,1248,71,0,95,1,53,20,1488,1191,60,122,0,94,1,8,12,4.771505376,0,6.384408602,0.067204301,3.561827957,1.344086022,8.198924731,83.87096774,Y,N,N,N
2011,2011,2011,215,31,138,124,165,84,113,62,0,0,0,0,717,255,243,767,816,732,22,0,40,1,7,14,816,708,18,35,0,40,1,1,13,2.696078431,0,4.901960784,0.12254902,0.857843137,1.715686275,4.289215686,89.70588235,Y,N,N,N
2012,2012,2012,216,27,192,153,254,129,173,75,0,0,0,2,1005,383,347,989,1044,989,15,0,30,0,5,5,1044,974,14,23,0,30,0,0,3,1.436781609,0,2.873563218,0,0.478927203,0.478927203,2.203065134,94.73180077,Y,N,N,N
2013,2013,2013,217,20,122,94,191,105,122,58,0,0,0,0,712,272,246,912,952,858,19,0,56,1,12,6,952,842,19,29,0,56,1,3,2,1.995798319,0,5.882352941,0.105042017,1.260504202,0.630252101,3.046218487,90.12605042,Y,N,N,N
2014,2014,2014,218,29,187,155,239,124,150,71,0,0,0,1,956,412,342,936,915,845,18,1,36,0,6,9,915,828,13,28,1,36,0,1,8,1.967213115,0.109289617,3.93442623,0,0.655737705,0.983606557,3.06010929,92.34972678,Y,N,N,N
2015,2015,2015,219,32,158,140,239,159,204,55,0,0,0,1,988,388,344,1723,2041,1593,160,7,186,0,69,26,2041,1525,140,154,4,185,0,8,25,7.839294463,0.342969133,9.113179814,0,3.380695737,1.27388535,7.545320921,78.0499755,Y,N,N,N
2016,2016,2016,220,38,204,186,340,210,285,118,0,0,0,7,1388,476,466,1696,2031,1704,87,2,164,2,45,27,2031,1640,79,126,0,164,1,8,13,4.283604136,0.098473658,8.07483998,0.098473658,2.215657312,1.329394387,6.203840473,83.89955687,Y,N,N,N
2017,2017,2017,221,46,224,201,347,212,234,83,0,0,0,3,1350,546,474,1777,1926,1763,55,1,84,0,6,17,1926,1708,52,70,0,84,0,0,12,2.855659398,0.05192108,4.361370717,0,0.31152648,0.882658359,3.634475597,91.53686397,Y,N,N,N
2018,2018,2018,222,26,174,145,248,127,159,65,0,0,0,1,945,391,334,924,1041,908,48,7,59,0,8,11,1041,880,45,45,2,59,0,5,5,4.610951009,0.672430355,5.667627281,0,0.768491835,1.056676273,4.322766571,87.22382325,Y,N,N,N
2019,2019,2019,223,22,147,140,248,126,171,98,0,0,0,2,954,338,323,972,1038,961,11,0,56,0,4,6,1038,927,10,41,0,56,0,2,2,1.05973025,0,5.394990366,0,0.385356455,0.578034682,3.949903661,92.58188825,Y,N,N,N
2020,2020,2020,224,29,197,160,261,155,194,86,0,0,0,10,1092,404,374,1582,2367,1882,102,1,283,0,50,49,2367,1796,97,135,1,283,0,15,40,4.309252218,0.042247571,11.95606253,0,2.112378538,2.070130967,5.703422053,79.50992818,Y,N,N,N
2101,2101,2101,225,13,56,65,42,26,38,9,0,0,0,4,253,71,81,1712,3936,2804,140,8,776,5,78,125,3936,2608,132,298,7,773,3,14,101,3.556910569,0.203252033,19.71544715,0.12703252,1.981707317,3.175813008,7.571138211,71.2398374,Y,N,N,N
2102,2102,2102,226,4,9,9,4,2,4,2,0,0,0,0,34,10,11,1161,6796,4675,223,3,1512,0,115,268,6796,4319,204,525,2,1500,0,20,226,3.281341966,0.044143614,22.2483814,0,1.692171866,3.943496174,7.725132431,68.79046498,Y,N,N,N
2103,2103,2103,227,13,24,28,19,8,14,10,0,0,0,0,116,32,37,1201,3700,2379,137,6,956,1,101,120,3700,2212,127,256,5,946,1,46,107,3.702702703,0.162162162,25.83783784,0.027027027,2.72972973,3.243243243,6.918918919,64.2972973,Y,N,N,N
2104,2104,2104,228,5,22,24,15,7,12,5,0,0,0,0,90,42,33,1010,2966,1914,77,2,596,1,240,136,2966,1775,76,326,1,594,1,101,92,2.596089009,0.067430883,20.09440324,0.033715442,8.091706001,4.585300067,10.99123399,64.53135536,Y,N,N,N
2105,2105,2105,229,9,40,40,32,20,27,10,0,0,0,1,179,29,52,1327,2668,1915,106,2,511,3,64,67,2668,1792,98,184,0,507,2,29,56,3.973013493,0.074962519,19.15292354,0.112443778,2.3988006,2.511244378,6.896551724,71.77661169,Y,N,N,N
2106,2106,2106,230,16,65,67,66,45,58,10,0,0,0,1,328,112,110,1054,2860,2162,94,5,405,3,108,83,2860,2024,89,216,2,404,3,51,71,3.286713287,0.174825175,14.16083916,0.104895105,3.776223776,2.902097902,7.552447552,75.59440559,Y,N,N,N
2107,2107,2107,231,11,58,50,37,29,27,10,0,0,0,2,224,72,74,1337,1555,1017,152,5,207,3,107,64,1555,858,131,290,2,206,3,16,49,9.774919614,0.321543408,13.31189711,0.192926045,6.881028939,4.115755627,18.64951768,65.40192926,Y,N,N,N
2108,2108,2108,232,12,36,33,26,18,24,8,0,0,0,2,159,37,49,1619,2811,2080,124,6,433,1,104,63,2811,1981,118,196,2,432,1,31,50,4.411241551,0.213447172,15.4037709,0.035574529,3.699750978,2.241195304,6.972607613,73.99501957,Y,N,N,N
2109,2109,2109,233,16,68,70,56,22,55,11,0,0,0,0,298,58,89,1754,2881,1824,255,11,555,1,140,95,2881,1691,230,304,4,553,1,24,74,8.85109337,0.381811871,19.26414439,0.03471017,4.859423811,3.297466158,10.5518917,63.31135023,Y,N,N,N
2110,2110,2110,234,18,57,74,62,40,65,15,0,0,0,1,332,140,118,1243,2112,1504,152,2,313,1,74,66,2112,1399,134,214,1,311,1,7,45,7.196969697,0.09469697,14.82007576,0.047348485,3.503787879,3.125,10.13257576,71.21212121,Y,N,N,N
2111,2111,2111,235,17,54,60,58,37,51,7,0,0,0,0,284,88,93,1564,2664,1982,82,4,465,0,67,64,2664,1890,76,161,2,465,0,18,52,3.078078078,0.15015015,17.45495495,0,2.515015015,2.402402402,6.043543544,74.3993994,Y,N,N,N
2112,2112,2112,236,21,163,168,169,63,152,19,0,0,0,2,757,143,225,1615,2414,2051,85,2,198,2,36,40,2414,1972,76,126,1,196,2,8,33,3.521126761,0.082850041,8.202154101,0.082850041,1.491300746,1.657000829,5.21955261,84.96271748,Y,N,N,N
2113,2113,2113,237,64,330,315,302,89,275,39,0,0,0,5,1419,257,419,2014,2772,2133,52,1,502,1,39,44,2772,2088,48,76,0,502,1,17,40,1.875901876,0.036075036,18.10966811,0.036075036,1.406926407,1.587301587,2.741702742,76.94805195,Y,N,N,N
2114,2114,2114,238,4,22,19,19,11,12,4,0,0,0,0,91,21,28,884,1528,1253,44,2,175,0,20,34,1528,1197,42,83,2,175,0,2,27,2.879581152,0.130890052,11.45287958,0,1.308900524,2.22513089,5.431937173,82.0026178,Y,N,N,N
2115,2115,2115,239,8,28,26,20,14,22,5,0,0,0,1,124,28,38,1151,1905,1545,54,6,236,2,32,30,1905,1488,53,87,4,235,2,11,25,2.834645669,0.31496063,12.38845144,0.104986877,1.679790026,1.57480315,4.566929134,81.1023622,Y,N,N,N
2116,2116,2116,240,22,116,118,104,45,86,19,0,0,0,1,511,105,154,1591,5369,4299,265,4,567,0,88,146,5369,4024,248,393,4,564,0,11,125,4.935742224,0.074501769,10.56062581,0,1.639038927,2.719314584,7.319798845,80.07077668,Y,N,N,N
2201,2201,2201,241,27,108,112,125,83,114,28,1,0,0,0,598,182,195,1904,5112,3220,357,17,1026,1,278,213,5112,2804,315,712,8,1022,1,68,182,6.983568075,0.332550861,20.07042254,0.019561815,5.438184664,4.166666667,13.92801252,62.98904538,Y,N,N,N
2202,2202,2202,242,22,104,90,117,59,78,20,0,0,0,1,491,189,170,1869,2937,1933,163,8,404,2,315,112,2937,1738,146,480,3,401,2,98,69,5.549880831,0.272386789,13.75553286,0.068096697,10.72522983,3.813415049,16.34320735,65.81545795,Y,N,N,N
2203,2203,2203,243,13,80,76,89,85,92,22,0,0,0,1,458,186,161,1547,2369,1875,78,3,306,0,73,34,2369,1787,70,157,3,305,0,21,26,3.292528493,0.126635711,12.91684255,0,3.081468974,1.435204728,6.62726889,79.14731954,Y,N,N,N
2204,2204,2204,244,19,109,125,118,72,88,17,0,0,0,4,552,164,179,1067,1406,1133,57,0,154,0,42,20,1406,1085,55,87,0,151,0,10,18,4.054054054,0,10.95305832,0,2.987197724,1.422475107,6.187766714,80.58321479,Y,N,N,N
2205,2205,2205,245,8,36,46,55,40,48,9,0,0,0,1,243,109,88,866,1642,1010,116,3,185,0,251,77,1642,894,99,270,1,184,0,136,58,7.06455542,0.182704019,11.26674787,0,15.2862363,4.689403167,16.44336175,61.51035323,Y,N,N,N
2206,2206,2206,246,9,42,45,47,32,38,19,0,0,0,1,233,59,73,917,1585,1157,41,1,221,0,117,48,1585,1066,32,169,1,221,0,58,38,2.586750789,0.063091483,13.94321767,0,7.38170347,3.028391167,10.66246057,72.99684543,Y,N,N,N
2207,2207,2207,247,29,112,105,108,62,88,27,0,0,0,1,532,164,174,1365,2079,1628,118,4,160,1,121,47,2079,1552,109,164,3,159,1,52,39,5.675805676,0.192400192,7.696007696,0.048100048,5.82010582,2.260702261,7.888407888,78.30687831,Y,N,N,N
2208,2208,2208,248,16,71,88,90,75,72,18,0,0,0,0,430,162,148,1265,2065,1583,61,1,357,0,26,37,2065,1505,58,108,1,354,0,8,31,2.953995157,0.04842615,17.28813559,0,1.259079903,1.791767554,5.230024213,76.65859564,Y,N,N,N
2209,2209,2209,249,18,75,86,75,60,55,17,0,0,0,0,386,118,126,1302,2018,1564,40,0,319,2,33,60,2018,1498,37,99,0,319,2,11,52,1.982160555,0,15.80773043,0.099108028,1.635282458,2.973240833,4.905847374,77.5024777,Y,N,N,N
2210,2210,2210,250,32,123,126,112,99,119,30,0,0,0,4,645,179,206,1504,2442,1984,90,1,250,0,73,44,2442,1842,81,207,1,248,0,34,29,3.685503686,0.040950041,10.23751024,0,2.989352989,1.801801802,8.476658477,81.24488124,Y,N,N,N
2211,2211,2211,251,11,66,74,84,52,77,12,0,0,0,3,379,133,128,1005,1315,1019,66,5,155,0,29,41,1315,949,64,109,1,152,0,12,28,5.019011407,0.380228137,11.78707224,0,2.205323194,3.117870722,8.288973384,77.4904943,Y,N,N,N
2212,2212,2212,252,22,60,79,79,86,75,23,0,0,0,3,427,233,165,1064,1646,1007,164,8,242,1,158,66,1646,903,138,299,5,242,0,29,30,9.963547995,0.486026731,14.70230863,0.060753341,9.599027947,4.009720535,18.16524909,61.17861482,Y,N,N,N
2213,2213,,253,10,58,65,80,59,75,24,0,0,0,1,372,156,132,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
